code,name,unit,stock,deal,free,pur_deal,pur_free,cost,value,mrp,pur_rate,rate,company,manufact,rackno
"","","PCS",0.000,0,0,0,0,0.0000,0.00,172.50,123.21,0.00,"MANKIND PHARMA PVT.LTD","",""
"","","",43.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"","",""
"2","2 PEN-500 LB CAP 8 CAP","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SHREYA LIFE SCIENCES PVT.LTD.","",""
"20622","2SOME SUSPENSION  30 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PALSONS DRUGS PRIVATE LIMITED","",""
"20492","2SOME TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PALSONS DRUGS PRIVATE LIMITED","",""
"21583","3-CEF NOVO 1.5GM INJ  1 VAIL","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ALKEM LAB","",""
"4","3 FD TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NOVARTIS INDIA LIMITED","",""
"26858","3G GEL  200ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CYGNUS PHARMACEUTICALS P.V.LTD","",""
"25164","3 LAX SYP  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SATVEN AND MER PHARMA PVT LTD.","",""
"25165","3 LAX SYP  200 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SATVEN AND MER PHARMA PVT LTD.","",""
"27626","3 MIX CREAM  10 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"31735","3NITE CAP  10 C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"INDCHEMIE HEALTH SEPCIA.P.LTD.","",""
"32483","3ROZEEL LS JUNIOR 60ML","TAB.",-1.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"","",""
"18106","4-BONES TAB  15 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"SANAFI","",""
"5","4.D TAB  4 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NOVARTIS INDIA LIMITED","",""
"30650","4QUIN D DROP  5ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ENTOD PHARMACEUTICALA LTD","",""
"30945","4QUIN DROP  10 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ENTOD PHARMACEUTICALA LTD","",""
"30651","4QUIN KT DROP  5ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ENTOD PHARMACEUTICALA LTD","",""
"30652","4QUIN LOT DROP  5ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ENTOD PHARMACEUTICALA LTD","",""
"31594","4QUIN OINT  5GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ENTOD PHARMACEUTICALA LTD","",""
"28201","4SEASON TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"RHYDBURG PHARMACEUTICALS LTD","",""
"8","5A-TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"WALLACE PHARMACEUTICALS","",""
"7","5 MONO 10 MG TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIOCHEM PHARMACUTICALS IND","",""
"6","5 MONO 20 MG TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIOCHEM PHARMACUTICALS IND","",""
"31496","5 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"TORRENT PHARMACEUTICALS LTD","",""
"22958","8 WASH SHAMPOO  60 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PHARMASIA.","",""
"23676","8X SHAMPOO  100ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CIPLA","",""
"17793","9PM EYE DROP  2.5 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CIPLA","",""
"9","9.V.9  SYP  200 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PEARL CHE.","",""
"31023","A","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMOL (ABBOT)","",""
"15169","A2Z-400 TAB  1 T","PCS",-1.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"ATM INDIA","",""
"15","AABLAQUIN CAP  1 BOX","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"24854","AARAV-SF  200 GM","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"KAUSAL","",""
"25996","AARTHER-P TAB  10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"REKVINA.","",""
"26149","AB-500 TAB  3S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BEFAM","",""
"16","ABACT 250 MG TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"23","ABACT 500 MG TAB.  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"31","ABACT I.V INJ  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"32","ABANA TAB  60 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"HIMALAYA DRUG","",""
"30","ABCD CAP  15 C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CYGNUS PHARMACEUTICALS P.V.LTD","",""
"29","ABCD DROP  15 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CYGNUS PHARMACEUTICALS P.V.LTD","",""
"14889","ABCD SYP  150 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CYGNUS PHARMACEUTICALS P.V.LTD","",""
"14492","ABCLOX CAP  10 C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CENTAUR PHARMACEUTICALS","",""
"33","ABDEC DROP  15 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"25","ABDEC FORTE DROPS  15 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"22","ABDEC SYP  100 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"PFIZER PRODUCT INDIA PVT LTD","",""
"34","ABDOGYL N SUSP.  30 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GLAXO SMITHKLINE LTD","",""
"35","ABDOGYL N TAB  6 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"GLAXO SMITHKLINE LTD","",""
"26","ABEL-10 MG TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN LIMITED","",""
"28","ABEL-20 MG TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN LIMITED","",""
"30524","ABEL 40 MG TAB 10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN CVN PINACLE","",""
"30535","ABEL 80 MG 10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN CVN PINACLE","",""
"31654","ABEL CT TAB 10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN CVN PINACLE","",""
"32061","ABELLA TAB 10S","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"DESUN-2","",""
"36","ABET TAB  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CAPLET","",""
"37","ABEZOL TAB  1 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"MILTON","",""
"25275","AB FLO CAP 10 C","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN RESPIRA SPECILITY","",""
"30423","AB FLO N 10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN RESPIRA SPECILITY","",""
"29546","AB FLO SR TAB 10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"LUPIN RESPIRA SPECILITY","",""
"28433","ABHAYRAB INJ  1VIAL","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
"29254","ABHAYTOX VIAL  5ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
"24","ABIT FORTE TAB  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"CAPLET","",""
"17","ABIZYME FORTE PED SYP  50 ML","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"EMCEE PHARMACEUTICALS","",""
"25396","ABLE SPACER  1 PCS","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"DR REDDY'S LABORATORIES LTD","",""
"29908","ABOCAL 500 MG TAB  15 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"30567","ABOCAL D  10 T","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"NICHOLAS PIRAMAL (I) LTD*","",""
"18951","ABOEL  10 TAB","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"AROBINDO PHARMA","",""
"27993","ABONEX 300 TAB  10","PCS",0.000,0,0,0,0,0.0000,0.00,0.00,0.00,0.00,"BIONEXT PHARMA","",""
